"Horeca; omzetontwikkeling, index 2010 = 100"
"Perioden";"2016";"2016";"2016"
"Onderwerpen";"Indexcijfers omzet";"Indexcijfers omzet";"Indexcijfers omzet"
"Onderwerpen";"Waarde";"Prijs";"Volume"
"Bedrijfstakken/branches";"2010=100";"2010=100";"2010=100"
"Traditionele Horeca";"127.0";"112.2";"113.1"
"I Horeca";"125.3";".";"."
"55 Logiesverstrekking";"124.1";".";"."
"551 Hotels";"125.8";".";"."
"56 Eet- en drinkgelegenheden";"125.8";".";"."
"561 Restaurants, andere eetgelegenheden";"135.1";"110.8";"122.0"
"56101 Restaurants";"135.8";"109.6";"123.9"
"56102 Fastfoodrestaurants, ijssalons etc";"133.7";"112.9";"118.4"
"562 Kantines en catering";"119.2";".";"."
"563 Cafés";"107.9";"116.3";"92.8"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 11-10-2017"
